,size,H,name,slope,intercept,r_value
255,3000,0.8,0.80_6,0.21448762676688232,36.2141645865093,0.12040961636796502
256,3500,0.8,0.80_6,0.03468069943791025,42.62582639323993,0.0275547242514486
257,4000,0.8,0.80_6,-0.2879386917374724,54.790714600991166,-0.18794928661757315
258,4500,0.8,0.80_6,-0.27834559550202587,61.212470076927914,-0.15396086493841507
259,5000,0.8,0.80_6,-0.19258651607394575,63.09919690050345,-0.1091908563953656
260,5500,0.8,0.80_6,-0.26001659455281584,74.04436782379585,-0.1139707531777367
261,6000,0.8,0.80_6,-0.14791540387477933,72.58663740607936,-0.0677652291521763
262,6500,0.8,0.80_6,-0.2653736988974284,98.45762227825217,-0.08237008632525175
263,7000,0.8,0.80_6,-0.24829913561853387,100.97001482828716,-0.07123832487916686
264,7500,0.8,0.80_6,-0.22679669826799775,97.23727009942694,-0.06406730844018148
265,8000,0.8,0.80_6,-0.19979081514797314,94.62640421724021,-0.05547668931812759
266,8500,0.8,0.80_6,-0.17722567317264049,92.01924432709258,-0.048253502238524724
267,9000,0.8,0.80_6,-0.14151698429042298,92.7195803482343,-0.037180088076604556
268,9500,0.8,0.80_6,-0.12878029200035887,91.24187108393468,-0.033027238213193845
269,10000,0.8,0.80_6,0.010026745032926943,107.51124781799905,0.002249409722779729
270,10500,0.8,0.80_6,0.25037448277445673,131.664191385319,0.04930282376877039
271,11000,0.8,0.80_6,0.3483402196272803,145.3570025266946,0.06592598163318646
272,11500,0.8,0.80_6,0.1576806926269408,134.21904044583516,0.03161272388454105
273,12000,0.8,0.80_6,0.017090541418553904,125.89233740469842,0.003580977667246575
274,12500,0.8,0.80_6,-0.07894405494457679,120.151268804237,-0.01715127771886192
275,13000,0.8,0.80_6,-0.15759930477463138,115.67117262782465,-0.03553525772081846
276,13500,0.8,0.80_6,-0.19513125094705724,112.48861229151585,-0.044485812626342346
277,14000,0.8,0.80_6,-0.22379271252258962,109.98989307253717,-0.05155838878480395
278,14500,0.8,0.80_6,-0.23191500148094582,108.84107707038389,-0.05382292395241164
279,15000,0.8,0.80_6,-0.250544775811937,107.26546146296025,-0.05870929054946489
280,15500,0.8,0.80_6,-0.2474176400729257,107.01797014122705,-0.05838211743922827
281,16000,0.8,0.80_6,-0.11001368069556527,115.06090275552546,-0.026403639635109152
282,16500,0.8,0.80_6,-0.1752699690315135,112.34406743119206,-0.04356871217021535
283,17000,0.8,0.80_6,-0.20747876654411776,111.08643590406459,-0.05349057442844093
284,17500,0.8,0.80_6,-0.23097951973586206,110.41325415652499,-0.06171227733102747
285,18000,0.8,0.80_6,-0.2536322058507872,109.34715714738883,-0.06908147927423995
286,18500,0.8,0.80_6,-0.2564084449533832,108.97284128809486,-0.07085243106325319
287,19000,0.8,0.80_6,-0.2633216160156337,108.55142290291634,-0.07394829310791852
